state,selling_price
oh,28020.22105263158
ab,25204.255319148935
nj,24237.063973063974
on,22962.56038647343
qc,22722.938144329895
pa,22190.227241042798
tn,21841.683217477657
mi,21411.620975609756
ca,20951.319410569107
wa,20598.724946695096
co,20590.382819794584
fl,20248.838845654995
ne,20005.963076923075
ga,19979.51166871381
il,19960.11304347826
